,node_id,node_name,emb_x,emb_y,n2v_kmeans,n2v_dbscan
0,0,474,0.00021046046,1.9681743,0,-1
1,1,83,0.5290431,1.6666619,0,-1
2,2,386,0.6784901,1.5232304,0,-1
3,3,205,0.24075517,1.809029,0,-1
4,4,166,-0.5069945,2.3411713,0,-1
5,5,243,-0.09538378,2.066726,0,-1
6,6,234,0.41623828,1.7232149,0,-1
7,7,144,-0.94078106,2.6155326,0,-1
8,8,307,0.17575476,1.8363843,0,-1
9,9,14,0.08629786,1.9144825,0,-1
10,10,13,-0.1710981,2.0646844,0,-1
11,11,25,-0.6673338,2.4249277,0,-1
12,12,181,0.98980385,1.3502139,0,-1
13,13,353,-0.07022468,1.9943836,0,-1
14,14,171,0.968666,1.363169,0,-1
15,15,63,-0.64003426,2.3790312,0,-1
16,16,240,-0.34015283,2.138899,0,-1
17,17,32,0.28813747,1.7861158,0,-1
18,18,422,-0.13589877,2.0912697,0,-1
19,19,121,-0.65868396,2.3837318,0,-1
20,20,384,-1.1484876,2.7114437,0,-1
21,21,295,-0.35854626,2.2310095,0,-1
22,22,110,-1.0354826,2.6510746,0,-1
23,23,269,-0.0065816822,1.9526529,0,-1
24,24,273,1.270395,1.2275879,0,-1
25,25,372,1.0013573,1.3816302,0,-1
26,26,204,1.0935721,1.309773,0,-1
27,27,162,-1.5208377,2.9568563,0,-1
28,28,301,1.2945269,1.2010764,0,-1
29,29,113,0.5617617,1.6251646,0,-1
30,30,223,0.59405047,1.6604825,0,-1
31,31,369,-0.5911811,2.3415043,0,-1
32,32,483,-0.2487899,2.108877,0,-1
33,33,242,-0.45191365,2.2327337,0,-1
34,34,134,-0.23201886,2.084452,0,-1
35,35,484,0.62681204,1.5927788,0,-1
36,36,149,0.6459521,1.6146421,0,-1
37,37,361,-0.41868693,2.2068336,0,-1
38,38,409,-0.10897857,2.0058565,0,-1
39,39,304,-0.24223724,2.1478655,0,-1
40,40,4,0.033035394,1.9602244,0,-1
41,41,367,-1.0107782,2.622545,0,-1
42,42,230,0.6200663,1.6103089,0,-1
43,43,349,-0.6507378,2.3803475,0,-1
44,44,333,0.21506701,1.8212491,0,-1
45,45,221,0.9093921,1.4212687,0,-1
46,46,41,0.5573917,1.6570415,0,-1
47,47,30,0.12068155,1.8933672,0,-1
48,48,472,0.46396592,1.7061629,0,-1
49,49,232,1.2765428,1.1944662,0,-1
50,50,395,-0.09480804,2.0103087,0,-1
51,51,399,0.12965466,1.9183781,0,-1
52,52,56,0.106565386,1.9072963,0,-1
53,53,23,-0.43025327,2.258714,0,-1
54,54,316,0.7887087,1.5223433,0,-1
55,55,106,-0.5345925,2.353827,0,-1
56,56,312,0.45168024,1.674874,0,-1
57,57,447,0.57005644,1.6796781,0,-1
58,58,345,0.09762988,1.8927228,0,-1
59,59,278,-0.3069622,2.16543,0,-1
60,60,249,0.53864366,1.6243846,0,-1
61,61,36,-0.694891,2.4016936,0,-1
62,62,370,1.0771441,1.3543816,0,-1
63,63,70,0.5392575,1.6818821,0,-1
64,64,145,-0.16981705,2.1236413,0,-1
65,65,468,-0.3660634,2.2313347,0,-1
66,66,461,1.0451821,1.3397654,0,-1
67,67,332,-0.14543405,2.0818036,0,-1
68,68,287,0.71948415,1.5444705,0,-1
69,69,351,0.14512593,1.8915304,0,-1
70,70,464,-0.4056443,2.2350848,0,-1
71,71,183,0.24439088,1.7999502,0,-1
72,72,39,0.44743583,1.7471308,0,-1
73,73,337,0.03550796,1.9164383,0,-1
74,74,413,1.0835172,1.3047353,0,-1
75,75,284,-0.23819405,2.066492,0,-1
76,76,47,-0.07858093,1.967075,0,-1
77,77,96,-0.37291366,2.232249,0,-1
78,78,108,0.08332723,1.9146596,0,-1
79,79,359,0.21281618,1.8696604,0,-1
80,80,155,0.0025727665,2.0145087,0,-1
81,81,305,-0.20067565,2.0873065,0,-1
82,82,109,-0.2617603,2.1335378,0,-1
83,83,73,1.0053185,1.337758,0,-1
84,84,77,0.92439944,1.3512609,0,-1
85,85,238,-0.6307634,2.3781075,0,-1
86,86,236,0.86470956,1.4563901,0,-1
87,87,423,0.6777947,1.5281967,0,-1
88,88,324,0.6370516,1.6066481,0,-1
89,89,131,-0.87509257,2.5766268,0,-1
90,90,441,0.37542593,1.72531,0,-1
91,91,40,0.0064538443,1.9228599,0,-1
92,92,445,1.1174266,1.2630424,0,-1
93,93,200,1.4921461,1.0857942,0,-1
94,94,211,0.2603079,1.7756691,0,-1
95,95,3,0.379384,1.7351364,0,-1
96,96,215,0.17019415,1.8074229,0,-1
97,97,213,-0.5749383,2.3514094,0,-1
98,98,152,0.50666237,1.6726615,0,-1
99,99,385,1.2305046,1.1979849,0,-1
100,100,220,0.8741182,1.437444,0,-1
101,101,34,1.0494177,1.3677981,0,-1
102,102,458,1.2544792,1.2380373,0,-1
103,103,104,-0.019171441,1.9924536,0,-1
104,104,281,0.37504357,1.7172883,0,-1
105,105,75,0.16246735,1.8552173,0,-1
106,106,279,0.021176584,1.9498255,0,-1
107,107,283,-0.6568804,2.3885202,0,-1
108,108,45,1.0273712,1.3133062,0,-1
109,109,124,0.4865068,1.6383505,0,-1
110,110,457,-0.10564545,1.9917693,0,-1
111,111,195,0.5352497,1.6603304,0,-1
112,112,265,1.1651535,1.2817008,0,-1
113,113,217,0.4465406,1.6730275,0,-1
114,114,153,0.52072316,1.6450216,0,-1
115,115,478,0.81606615,1.4864181,0,-1
116,116,1,0.19086565,1.8538479,0,-1
117,117,311,0.23545901,1.8235226,0,-1
118,118,406,2.0252247,0.81053406,0,-1
119,119,196,0.21661988,1.8139154,0,-1
120,120,352,-0.3369471,2.2091744,0,-1
121,121,216,-0.52880615,2.280147,0,-1
122,122,425,0.39115188,1.7395625,0,-1
123,123,29,0.051564284,1.9727356,0,-1
124,124,224,0.18171568,1.849489,0,-1
125,125,424,0.06205318,1.9123775,0,-1
126,126,49,-0.46917686,2.2605426,0,-1
127,127,154,0.21364164,1.880329,0,-1
128,128,92,0.9456382,1.4179604,0,-1
129,129,158,0.58922696,1.5892848,0,-1
130,130,46,0.5894274,1.6026448,0,-1
131,131,266,1.6470433,0.99865454,0,-1
132,132,64,0.85361254,1.4657604,0,-1
133,133,495,8.300761,2.325526,0,-1
134,134,57,0.48566583,1.6853421,0,-1
135,135,379,0.83197975,1.492303,0,-1
136,136,403,-0.19808625,2.0877466,0,-1
137,137,286,0.028732639,1.9064926,0,-1
138,138,292,-0.9011396,2.538805,0,-1
139,139,233,-0.397847,2.2194471,0,-1
140,140,193,0.40147355,1.7021585,0,-1
141,141,252,0.5793362,1.6079735,0,-1
142,142,111,0.5870642,1.6297436,0,-1
143,143,341,0.36808857,1.7068166,0,-1
144,144,455,0.27743703,1.7336309,0,-1
145,145,497,8.137196,2.4182718,0,-1
146,146,177,-0.017619133,2.0008364,0,-1
147,147,237,0.35508204,1.6889398,0,-1
148,148,231,0.25858438,1.8339406,0,-1
149,149,471,0.5577559,1.6298757,0,-1
150,150,60,0.12959957,1.8353214,0,-1
151,151,418,0.73483074,1.5270352,0,-1
152,152,299,0.17185469,1.8735098,0,-1
153,153,274,0.82835543,1.467311,0,-1
154,154,348,0.10876857,1.8968736,0,-1
155,155,222,0.77058125,1.4990028,0,-1
156,156,68,0.7184796,1.549159,0,-1
157,157,334,0.4795845,1.6374471,0,-1
158,158,54,0.32521778,1.7556713,0,-1
159,159,147,0.2736648,1.785223,0,-1
160,160,137,0.023434421,1.9535527,0,-1
161,161,180,1.2735993,1.1766173,0,-1
162,162,272,0.46889094,1.6707006,0,-1
163,163,336,0.33250338,1.7936713,0,-1
164,164,390,0.6145041,1.5674362,0,-1
165,165,122,-0.10199509,1.9839661,0,-1
166,166,321,1.2484591,1.1661178,0,-1
167,167,125,0.9567666,1.3621786,0,-1
168,168,148,1.2635314,1.2211177,0,-1
169,169,210,0.28448856,1.8472832,0,-1
170,170,262,0.65222335,1.5980806,0,-1
171,171,226,1.2009895,1.303886,0,-1
172,172,356,0.11125121,1.8710625,0,-1
173,173,35,0.9716091,1.3305962,0,-1
174,174,228,-0.42629594,2.2519965,0,-1
175,175,448,-0.33773822,2.135932,0,-1
