,node_id,node_name,emb_x,emb_y,sc_kmeans,sc_dbscan
0,0,0,-0.003248891138409014,0.015023758315420313,7,0
1,1,1,-0.00324889113840901,0.01357545547777076,7,0
2,2,2,-0.00324889113840901,0.0031814230208790004,9,1
3,3,3,-0.003248891138409006,-0.001682681598679418,6,2
4,4,4,-0.0032488911384090215,0.00030879254431751365,9,1
5,5,5,-0.00324889113840903,0.006801690240718584,1,1
6,6,6,-0.003248891138409031,-0.01337634462396429,14,3
7,7,7,-0.0032488911384090102,-0.0020017557371987834,6,2
8,8,8,-0.003248891138409039,0.0031630404814344624,9,1
9,9,9,-0.003248891138409012,0.001890971134116326,9,1
10,10,10,-0.0032488911384090167,0.012437330394560095,7,0
11,11,11,-0.00324889113840901,-0.0015806175155848568,6,2
12,12,12,-0.0032488911384090033,-0.0062843796807266275,12,4
13,13,13,-0.003248891138409042,-0.002048433831919242,6,2
14,14,14,-0.003248891138409047,0.0023731222864227536,9,1
15,15,15,-0.0032488911384090232,-0.0045492784722724776,12,4
16,16,16,-0.003248891138409024,-0.0005401196835043795,6,2
17,17,17,-0.00324889113840901,-0.005318879443491405,12,4
18,18,18,-0.0032488911384090232,-0.015626804401211235,14,5
19,19,19,-0.0032488911384090193,-0.0003523715643539235,6,2
20,20,20,-0.003248891138409005,-0.024103653257464983,4,-1
21,21,21,-0.0032488911384090362,0.03006970837637371,5,-1
22,22,22,-0.0032488911384090267,0.021681384839111313,13,-1
23,23,23,-0.0032488911384090284,0.02213327592574881,13,6
24,24,24,-0.0032488911384090215,0.005741904694439032,1,1
25,25,25,-0.003248891138409004,0.0029629808670235728,9,1
26,26,26,-0.0032488911384090514,0.028044838882440276,5,-1
27,27,27,-0.0032488911384090076,0.02995823971024745,5,-1
28,28,28,-0.003248891138409012,0.008174606189161347,15,7
29,29,29,-0.003248891138409026,-0.003149616529947857,6,2
30,30,30,-0.003248891138409012,-0.012146039052961896,0,9
31,31,31,-0.003248891138409038,0.035904069416262535,8,-1
32,32,32,-0.003248891138409032,0.016526816832859684,3,-1
33,33,33,-0.003248891138409022,0.03210614873295491,5,-1
34,34,34,-0.0032488911384090167,0.022693709616551892,13,-1
35,35,35,-0.003248891138409016,0.04187028633837702,8,-1
36,36,36,-0.0032488911384090284,0.0017434491294409987,9,1
37,37,37,-0.003248891138409035,0.00755076605098751,15,7
38,38,38,-0.003248891138409022,-0.0011153287974384279,6,2
39,39,39,-0.0032488911384090237,0.013092995003468768,7,0
40,40,40,-0.0032488911384090055,0.018143730921878473,3,19
41,41,41,-0.003248891138409023,0.020742355692288456,13,-1
42,42,42,-0.0032488911384090558,0.009783962788393302,15,8
43,43,43,-0.0032488911384090033,-0.006658680108406318,12,4
44,44,44,-0.0032488911384090384,0.014456220846550676,7,0
